lag_hours,autocorrelation,pair_count
1,0.9387819116258906,95
2,0.7896373782246111,94
3,0.5888694915372137,93
4,0.3681323014276825,92
5,0.1664357850759979,91
6,0.008807746792705684,90
7,-0.08455284712980865,89
8,-0.11246849918339354,88
9,-0.10364943630296647,87
10,-0.09572747069315282,86
11,-0.1039393758716638,85
12,-0.14143448790688823,84
13,-0.21529570542563517,83
14,-0.2890547033923381,82
15,-0.35075581106786613,81
16,-0.3863632403908923,80
17,-0.3754331030928542,79
18,-0.3059285252470517,78
19,-0.18069200385060757,77
20,-0.013902926874611537,76
21,0.16999614087915496,75
22,0.3368938517162492,74
23,0.46272994743554263,73
24,0.5086897322437012,72
25,0.4434339966987662,71
26,0.3098329393177206,70
27,0.1455270366204363,69
28,-0.023555943505451617,68
29,-0.1661722552084884,67
30,-0.2686046137117996,66
31,-0.32113727784522905,65
32,-0.3263752392918728,64
33,-0.31501773310581427,63
34,-0.31890250804355563,62
35,-0.3497195414223117,61
36,-0.41762016428099213,60
37,-0.5161993873710031,59
38,-0.6123249263363846,58
39,-0.6954879642176537,57
40,-0.7513353032720629,56
41,-0.753148765345212,55
42,-0.6802657054575082,54
43,-0.5317719151762896,53
44,-0.31826536628764107,52
45,-0.06624187229996911,51
46,0.17756493955972122,50
47,0.38096496368877686,49
48,0.4956103910302135,48
49,0.48276609069365306,47
50,0.4009258590867922,46
51,0.29494598472073896,45
52,0.19406792686427116,44
53,0.13241734174364883,43
54,0.11646104069138165,42
55,0.14273365894416898,41
56,0.19623663899356025,40
57,0.24059664153995125,39
58,0.23842005227132967,38
59,0.17051085772279267,37
60,0.026158372878011097,36
61,-0.18695268613611188,35
62,-0.404722100664424,34
63,-0.6006738198004755,33
64,-0.7411015182165736,32
65,-0.7665390136767009,31
66,-0.6748590464284931,30
67,-0.48131976584306674,29
68,-0.1980398585187427,28
69,0.14554450959691273,27
70,0.48038424002993513,26
71,0.7461206793805413,25
72,0.8737875351147759,24
