fold,test_date,feature,train_min,train_max,test_min,test_max,outside_train_range_count,outside_train_range_pct
1,2025-04-22,temperature,11.86,22.48,14.2,16.5,0,0.0
1,2025-04-22,wind_speed,1.22,3.12,1.44,2.45,0,0.0
1,2025-04-22,precipitation,0.0,0.01,0.01,2.8,23,95.83333333333334
1,2025-04-22,humidity,54.3,91.28,85.2,95.5,17,70.83333333333334
2,2025-04-23,temperature,11.86,22.48,11.31,18.55,3,12.5
2,2025-04-23,wind_speed,1.22,3.12,1.26,2.76,0,0.0
2,2025-04-23,precipitation,0.0,2.8,0.0,0.03,0,0.0
2,2025-04-23,humidity,54.3,95.5,61.78,92.19,0,0.0
3,2025-04-24,temperature,11.31,22.48,9.75,19.67,8,33.33333333333333
3,2025-04-24,wind_speed,1.22,3.12,1.16,3.95,14,58.333333333333336
3,2025-04-24,precipitation,0.0,2.8,0.0,0.0,0,0.0
3,2025-04-24,humidity,54.3,95.5,44.57,92.44,12,50.0
