hour,mean,std,min,q10,median,q90,max
0,664802.5,36737.127636765494,609858,630898.5,681275.0,685528.5,686802
1,641162.5,35260.78189244628,588382,608600.2,657478.0,660672.4,661312
2,627722.25,35024.55794034618,575284,595666.0,643711.5,646987.1,648182
3,621250.75,33573.445562180044,571137,589915.8,636014.5,640774.7,641837
4,625294.5,30991.899527672293,578999,596618.9,638840.5,643133.3,644498
5,642128.0,28349.054951914466,599687,616056.2,655135.5,657793.8,658554
6,672955.75,26335.08557514101,633850,648136.6,683690.5,689187.1,690592
7,709416.75,30588.193434450055,676558,683223.7,705834.0,738476.0,749441
8,736104.75,47142.83244478068,702124,703582.3,719038.0,782280.6,804219
9,736474.5,65350.869295416924,680562,687382.5,718135.5,800237.7000000001,829065
10,724128.0,78187.68173653274,658880,666749.3,700843.0,800134.7000000001,835946
11,700745.25,84324.09811505054,632657,641687.3,673581.5,781534.2000000001,823161
12,670733.75,86754.28809526748,602792,612720.8,641149.5,752414.1,797844
13,700350.0,84425.14861895912,634967,644315.0,671099.5,779785.4,824234
14,720565.5,73944.46832815374,662893,670888.9,695248.5,790495.7000000001,828872
15,737920.5,57907.207671699485,694909,700567.6,716724.5,792230.2000000001,823324
16,763947.75,40827.08001947562,735298,738429.4,748016.5,802211.1,824460
17,779900.25,24767.192108042163,760906,762320.5,771579.0,804137.0,815537
18,801539.25,13321.090129940581,788117,789989.9,799775.0,814500.0,818490
19,809492.0,7305.377699567187,801394,802672.6,809520.5,816288.6,817533
20,789768.75,4610.120922130629,783211,785485.0,790923.0,793129.1,794018
21,765789.75,4916.02111298693,758527,761104.0,767720.0,768931.3,769192
22,752698.75,5579.39855629618,745007,747350.6,753819.0,757150.7,758150
23,728033.5,5942.224863915303,720941,722440.7,728219.5,733477.5,734754
