scenario,model_id,model,saw_score,rank
balanced,block_persistence_24h,24h block persistence,0.5921511841357674,1
balanced,seasonal_naive_24h,24h seasonal naive,0.5723881139006722,2
balanced,past_same_hour_mean,Past same-hour mean,0.5464119858659118,3
balanced,ridge_calendar,Ridge calendar,0.502772307877352,4
accuracy_first,block_persistence_24h,24h block persistence,0.3421511841357674,4
accuracy_first,seasonal_naive_24h,24h seasonal naive,0.7667910854255042,1
accuracy_first,past_same_hour_mean,Past same-hour mean,0.6399564993406008,2
accuracy_first,ridge_calendar,Ridge calendar,0.5562855896063527,3
stability_first,block_persistence_24h,24h block persistence,0.7710755920678837,1
stability_first,seasonal_naive_24h,24h seasonal naive,0.3667910854255042,4
stability_first,past_same_hour_mean,Past same-hour mean,0.5306476716070693,3
stability_first,ridge_calendar,Ridge calendar,0.5481786739553436,2
peak_first,block_persistence_24h,24h block persistence,0.7210755920678836,1
peak_first,seasonal_naive_24h,24h seasonal naive,0.4503732562765126,2
peak_first,past_same_hour_mean,Past same-hour mean,0.43792287207556935,3
peak_first,ridge_calendar,Ridge calendar,0.36385266007036016,4
