datetime,date,hour,demand,precipitation,humidity,threshold_p90
2025-04-22 09:00:00,2025-04-22,9,829065,2.8,95.13,814461.0
2025-04-22 10:00:00,2025-04-22,10,835946,2.56,95.37,814461.0
2025-04-22 11:00:00,2025-04-22,11,823161,2.3,95.31,814461.0
2025-04-22 13:00:00,2025-04-22,13,824234,2.17,94.82,814461.0
2025-04-22 14:00:00,2025-04-22,14,828872,2.08,95.12,814461.0
2025-04-22 15:00:00,2025-04-22,15,823324,1.78,95.5,814461.0
2025-04-22 16:00:00,2025-04-22,16,824460,1.24,95.15,814461.0
2025-04-22 17:00:00,2025-04-22,17,815537,0.77,94.91,814461.0
2025-04-22 18:00:00,2025-04-22,18,818490,0.47,94.64,814461.0
2025-04-22 19:00:00,2025-04-22,19,817533,0.33,94.82,814461.0
