weather_variable,method,correlation
temperature,raw_pearson,0.2755154209249382
temperature,raw_spearman,0.31171068519803824
temperature,within_date_pearson,0.3333380594397596
temperature,within_hour_pearson,-0.2444050967332084
temperature,two_way_demeaned_pearson,-0.3536873596915928
wind_speed,raw_pearson,0.24082017933045857
wind_speed,raw_spearman,0.3064437367152449
wind_speed,within_date_pearson,0.36627460697309955
wind_speed,within_hour_pearson,-0.24158837194739596
wind_speed,two_way_demeaned_pearson,-0.10785398855419365
precipitation,raw_pearson,0.4841261243001347
precipitation,raw_spearman,0.29150423393026337
precipitation,within_date_pearson,0.3285839392008519
precipitation,within_hour_pearson,0.8496925845256099
precipitation,two_way_demeaned_pearson,0.7510550760461197
humidity,raw_pearson,-0.01145498972257861
humidity,raw_spearman,0.12147561333795191
humidity,within_date_pearson,-0.3086946702052174
humidity,within_hour_pearson,0.6734401050288636
humidity,two_way_demeaned_pearson,0.4351782051534525
