user_id,theme,power_user,daily_minutes
1,dark,1,76.2
2,light,0,37.5
3,dark,1,86.3
4,dark,1,80.0
5,light,0,44.1
6,light,0,44.0
7,light,0,42.4
8,dark,0,42.6
9,dark,1,72.7
10,dark,1,91.7
11,light,0,37.2
12,dark,1,77.1
13,light,0,35.8
14,dark,0,52.8
15,light,0,40.4
16,light,0,50.4
17,dark,0,47.0
18,light,0,39.5
19,dark,1,89.5
20,light,0,42.9
21,light,0,36.4
22,light,0,29.9
23,light,0,28.3
24,dark,1,79.9
25,light,0,42.9
26,light,0,34.1
27,dark,1,80.0
28,light,1,78.5
29,dark,1,65.5
30,dark,1,88.3
31,light,0,46.7
32,dark,1,63.5
33,light,0,44.4
34,dark,1,76.8
35,dark,1,72.7
36,dark,1,74.7
37,light,0,51.7
38,light,0,36.4
39,dark,0,54.2
40,light,0,31.8
41,light,0,49.0
42,dark,1,84.9
43,dark,1,76.6
44,dark,1,80.2
45,dark,1,94.1
46,dark,0,45.6
47,dark,1,75.3
48,light,0,43.1
49,light,0,43.2
50,dark,1,79.9
51,dark,0,62.4
52,dark,0,45.8
53,dark,0,21.2
54,light,0,36.1
55,dark,1,84.8
56,light,0,51.9
57,dark,1,86.7
58,light,0,18.5
59,light,0,41.4
60,dark,0,52.6
61,dark,1,77.3
62,light,0,52.3
63,light,0,47.3
64,dark,1,75.9
65,dark,1,65.8
66,light,0,27.9
67,light,0,50.1
68,light,0,46.0
69,light,0,46.1
70,light,1,87.7
71,light,0,24.2
72,dark,0,54.3
73,dark,1,90.0
74,light,1,66.8
75,light,0,34.0
76,dark,1,86.1
77,light,0,21.6
78,light,0,36.9
79,dark,0,42.9
80,dark,1,84.7
81,dark,1,89.9
82,light,0,52.9
83,light,0,24.3
84,light,0,48.6
85,dark,0,38.3
86,light,1,76.9
87,dark,1,76.4
88,dark,1,67.9
89,light,0,48.1
90,dark,1,84.3
91,light,0,27.5
92,light,0,34.9
93,light,0,27.7
94,light,0,39.1
95,light,0,34.9
96,dark,0,27.5
97,light,0,42.3
98,dark,1,74.3
99,dark,1,88.7
100,light,0,45.3
101,dark,1,75.6
102,light,0,36.2
103,light,1,67.6
104,light,0,45.5
105,dark,1,70.8
106,dark,1,77.3
107,dark,0,34.9
108,dark,1,75.1
109,light,0,61.3
110,light,0,49.1
111,dark,1,91.5
112,dark,1,81.4
113,light,0,42.6
114,light,1,69.4
115,light,0,42.3
116,light,0,41.5
117,light,1,65.4
118,light,1,64.2
119,light,1,68.0
120,light,0,42.1
121,dark,1,72.2
122,dark,1,77.0
123,dark,1,75.4
124,dark,0,49.3
125,dark,0,42.1
126,dark,1,79.3
127,light,0,43.4
128,dark,0,51.4
129,light,0,24.8
130,light,0,40.5
131,light,0,31.7
132,light,0,52.6
133,light,0,44.0
134,dark,1,79.4
135,dark,1,91.2
136,light,0,47.8
137,dark,1,75.6
138,dark,1,86.6
139,light,1,84.9
140,light,1,73.3
141,dark,1,85.8
142,light,0,40.1
143,dark,1,84.3
144,dark,1,78.2
145,dark,1,76.1
146,light,0,45.5
147,light,0,36.5
148,light,0,23.9
149,dark,0,41.1
150,light,1,63.7
151,light,0,38.5
152,dark,1,63.4
153,light,0,45.0
154,light,0,25.9
155,light,0,40.3
156,dark,1,80.0
157,light,1,64.5
158,light,0,36.0
159,dark,0,46.9
160,light,0,27.3
161,dark,0,42.5
162,dark,1,71.9
163,dark,0,41.6
164,light,0,18.2
165,light,0,41.2
166,dark,0,32.0
167,dark,1,77.7
168,dark,0,36.2
169,dark,1,72.2
170,dark,0,32.2
171,light,0,36.1
172,dark,0,43.8
173,light,0,48.8
174,light,0,41.0
175,dark,0,47.8
176,dark,1,96.7
177,dark,1,82.1
178,light,0,38.8
179,light,0,42.0
180,dark,0,60.0
181,dark,1,71.5
182,dark,1,80.1
183,light,1,88.3
184,dark,0,43.1
185,light,0,45.4
186,light,0,36.2
187,light,0,34.6
188,dark,1,84.5
189,light,1,70.8
190,dark,1,96.3
191,dark,0,29.0
192,light,0,54.3
193,light,0,49.4
194,dark,0,39.3
195,light,0,40.2
196,dark,1,66.5
197,dark,0,35.8
198,dark,1,79.3
199,dark,0,39.2
200,light,0,34.4
