user_id,group,churned,negative_feedback
1,control,0,0
2,control,0,0
3,control,0,0
4,control,0,0
5,control,1,0
6,control,0,0
7,control,0,0
8,control,0,0
9,control,0,0
10,control,0,0
11,control,0,0
12,control,0,0
13,control,0,0
14,control,0,0
15,control,0,0
16,control,0,0
17,control,0,0
18,control,0,0
19,control,1,0
20,control,0,0
21,control,0,0
22,control,0,0
23,control,0,0
24,control,0,0
25,control,0,0
26,control,0,0
27,control,0,0
28,control,0,0
29,control,0,0
30,control,0,0
31,control,0,1
32,control,0,0
33,control,0,0
34,control,1,0
35,control,0,0
36,control,0,0
37,control,0,0
38,control,0,0
39,control,0,0
40,control,0,0
41,control,1,0
42,control,0,0
43,control,0,1
44,control,1,0
45,control,0,1
46,control,1,0
47,control,0,0
48,control,1,0
49,control,0,0
50,control,0,0
51,control,1,0
52,control,0,0
53,control,0,0
54,control,0,0
55,control,0,0
56,control,0,0
57,control,0,0
58,control,1,0
59,control,0,0
60,control,0,0
61,control,0,0
62,control,0,0
63,control,0,0
64,control,0,0
65,control,0,0
66,control,0,0
67,control,0,0
68,control,0,0
69,control,0,0
70,control,0,0
71,control,0,0
72,control,0,0
73,control,0,0
74,control,0,0
75,control,1,0
76,control,0,0
77,control,0,0
78,control,0,0
79,control,0,0
80,control,0,0
81,control,0,0
82,control,0,0
83,control,0,0
84,control,0,0
85,control,0,0
86,control,0,0
87,control,0,0
88,control,1,0
89,control,0,0
90,control,0,0
91,control,1,0
92,control,0,0
93,control,1,0
94,control,0,0
95,control,0,0
96,control,0,0
97,control,0,0
98,control,0,0
99,control,0,0
100,control,0,0
101,control,0,0
102,control,0,0
103,control,0,0
104,control,0,0
105,control,0,0
106,control,0,0
107,control,0,0
108,control,0,0
109,control,0,0
110,control,0,0
111,control,0,0
112,control,0,0
113,control,0,0
114,control,0,0
115,control,0,0
116,control,0,0
117,control,0,0
118,control,0,1
119,control,0,0
120,control,0,0
121,control,0,0
122,control,0,0
123,control,0,0
124,control,0,1
125,control,0,0
126,control,0,0
127,control,0,0
128,control,0,0
129,control,0,0
130,control,0,0
131,control,1,0
132,control,1,0
133,control,0,0
134,control,0,0
135,control,0,0
136,control,0,0
137,control,0,0
138,control,0,0
139,control,0,0
140,control,1,0
141,control,0,0
142,control,0,0
143,control,0,0
144,control,0,0
145,control,0,0
146,control,0,0
147,control,0,0
148,control,1,0
149,control,0,0
150,control,0,0
151,control,0,0
152,control,1,0
153,control,0,0
154,control,0,0
155,control,0,0
156,control,0,0
157,control,0,0
158,control,0,0
159,control,0,1
160,control,0,0
161,control,0,0
162,control,0,0
163,control,0,0
164,control,0,0
165,control,0,0
166,control,0,0
167,control,0,0
168,control,0,0
169,control,0,0
170,control,0,0
171,control,0,0
172,control,0,0
173,control,0,0
174,control,0,0
175,control,0,0
176,control,0,0
177,control,0,0
178,control,0,0
179,control,0,1
180,control,0,0
181,control,0,0
182,control,0,0
183,control,0,0
184,control,0,0
185,control,0,0
186,control,0,0
187,control,0,0
188,control,0,0
189,control,0,0
190,control,0,0
191,control,0,1
192,control,0,0
193,control,0,0
194,control,0,0
195,control,0,0
196,control,1,0
197,control,0,0
198,control,0,0
199,control,0,0
200,control,0,0
201,control,0,0
202,control,0,0
203,control,0,0
204,control,0,0
205,control,0,0
206,control,0,0
207,control,1,0
208,control,0,0
209,control,0,0
210,control,0,0
211,control,0,0
212,control,0,0
213,control,1,0
214,control,0,0
215,control,0,0
216,control,0,0
217,control,0,0
218,control,0,0
219,control,0,0
220,control,1,0
221,control,0,0
222,control,0,0
223,control,0,0
224,control,0,0
225,control,0,0
226,control,0,0
227,control,0,0
228,control,0,0
229,control,0,0
230,control,0,0
231,control,0,0
232,control,1,0
233,control,0,0
234,control,0,0
235,control,0,0
236,control,0,0
237,control,0,0
238,control,0,0
239,control,0,0
240,control,0,0
241,control,0,0
242,control,0,0
243,control,0,0
244,control,1,0
245,control,0,0
246,control,0,0
247,control,1,0
248,control,0,0
249,control,0,0
250,control,0,0
251,control,0,0
252,control,0,0
253,control,0,0
254,control,0,0
255,control,0,0
256,control,0,0
257,control,1,0
258,control,0,0
259,control,0,0
260,control,0,0
261,control,0,0
262,control,0,0
263,control,0,0
264,control,0,0
265,control,0,0
266,control,0,0
267,control,0,0
268,control,1,0
269,control,0,0
270,control,0,0
271,control,1,0
272,control,0,0
273,control,0,0
274,control,0,0
275,control,0,0
276,control,0,0
277,control,1,0
278,control,0,1
279,control,1,0
280,control,0,0
281,control,0,0
282,control,0,0
283,control,1,0
284,control,0,0
285,control,0,0
286,control,0,0
287,control,1,0
288,control,0,0
289,control,0,0
290,control,0,0
291,control,0,0
292,control,0,0
293,control,0,0
294,control,0,0
295,control,0,0
296,control,1,0
297,control,0,0
298,control,0,0
299,control,0,0
300,control,0,0
301,control,0,0
302,control,0,0
303,control,0,0
304,control,0,0
305,control,0,0
306,control,0,0
307,control,0,0
308,control,1,0
309,control,1,0
310,control,0,0
311,control,0,0
312,control,1,0
313,control,0,0
314,control,0,0
315,control,0,1
316,control,0,0
317,control,0,0
318,control,1,0
319,control,0,0
320,control,1,0
321,control,0,0
322,control,0,0
323,control,0,0
324,control,0,1
325,control,0,0
326,control,0,0
327,control,0,0
328,control,0,0
329,control,0,0
330,control,0,0
331,control,0,0
332,control,0,0
333,control,0,0
334,control,1,0
335,control,0,0
336,control,0,0
337,control,0,0
338,control,0,0
339,control,0,0
340,control,0,0
341,control,0,0
342,control,1,0
343,control,0,0
344,control,1,0
345,control,0,0
346,control,1,0
347,control,0,0
348,control,0,0
349,control,1,0
350,control,0,0
351,control,0,0
352,control,0,0
353,control,0,0
354,control,0,0
355,control,0,0
356,control,0,0
357,control,0,0
358,control,0,0
359,control,0,0
360,control,0,0
361,control,0,1
362,control,0,0
363,control,0,0
364,control,0,0
365,control,0,0
366,control,0,0
367,control,0,0
368,control,0,0
369,control,0,0
370,control,1,0
371,control,0,0
372,control,0,0
373,control,0,0
374,control,0,0
375,control,0,0
376,control,0,0
377,control,0,1
378,control,1,0
379,control,0,0
380,control,0,0
381,control,0,0
382,control,0,0
383,control,0,0
384,control,0,0
385,control,1,0
386,control,0,0
387,control,0,0
388,control,0,0
389,control,0,0
390,control,0,0
391,control,0,0
392,control,0,0
393,control,0,0
394,control,0,0
395,control,0,0
396,control,0,0
397,control,0,0
398,control,0,0
399,control,0,0
400,control,0,0
401,control,0,0
402,control,0,0
403,control,0,0
404,control,0,0
405,control,0,0
406,control,0,0
407,control,0,0
408,control,0,0
409,control,1,0
410,control,0,0
411,control,0,0
412,control,0,0
413,control,0,0
414,control,0,0
415,control,0,0
416,control,0,0
417,control,0,0
418,control,0,0
419,control,1,0
420,control,0,0
421,control,0,0
422,control,0,0
423,control,0,0
424,control,1,0
425,control,1,0
426,control,0,0
427,control,0,0
428,control,0,0
429,control,0,0
430,control,0,0
431,control,0,0
432,control,0,0
433,control,0,0
434,control,0,0
435,control,0,0
436,control,0,0
437,control,0,0
438,control,0,0
439,control,0,0
440,control,0,0
441,control,0,0
442,control,0,0
443,control,1,0
444,control,0,1
445,control,0,0
446,control,0,0
447,control,0,0
448,control,0,0
449,control,0,0
450,control,0,0
451,control,1,0
452,control,0,1
453,control,1,0
454,control,0,0
455,control,0,0
456,control,0,0
457,control,1,0
458,control,0,0
459,control,0,0
460,control,0,0
461,control,0,0
462,control,0,0
463,control,0,0
464,control,0,0
465,control,0,0
466,control,0,0
467,control,0,0
468,control,1,0
469,control,0,0
470,control,0,0
471,control,0,0
472,control,1,0
473,control,0,0
474,control,0,0
475,control,0,0
476,control,0,0
477,control,0,0
478,control,0,0
479,control,1,0
480,control,0,0
481,control,1,0
482,control,0,0
483,control,0,0
484,control,0,0
485,control,0,1
486,control,0,0
487,control,0,0
488,control,0,0
489,control,0,0
490,control,0,0
491,control,0,0
492,control,0,0
493,control,0,0
494,control,0,0
495,control,0,0
496,control,0,0
497,control,0,0
498,control,1,0
499,control,0,0
500,control,0,0
501,control,0,0
502,control,0,0
503,control,0,0
504,control,0,0
505,control,0,0
506,control,0,0
507,control,0,0
508,control,0,0
509,control,0,0
510,control,1,0
511,control,0,0
512,control,0,0
513,control,0,0
514,control,0,0
515,control,1,0
516,control,1,0
517,control,0,0
518,control,0,0
519,control,1,0
520,control,0,0
521,control,0,0
522,control,0,0
523,control,0,1
524,control,1,0
525,control,0,0
526,control,0,0
527,control,0,0
528,control,0,0
529,control,0,0
530,control,0,1
531,control,0,1
532,control,0,0
533,control,0,0
534,control,0,0
535,control,0,0
536,control,0,0
537,control,1,0
538,control,0,0
539,control,0,0
540,control,0,0
