id,age,workclass,education,education_num,marital_status,occupation,hours_per_week,capital_gain,capital_loss,income
1,45,Local-gov,Some-college,10,Never-married,Exec-managerial,38,15000,0,>50K
2,31,Private,HS-grad,9,Married,Craft-repair,34,0,0,>50K
3,33,Private,Some-college,10,Married,Exec-managerial,31,0,0,>50K
4,40,Private,11th,8,Divorced,Farming-fishing,34,0,0,<=50K
5,42,Private,11th,8,Married,Tech-support,33,0,0,<=50K
6,22,Private,Some-college,10,Never-married,Farming-fishing,52,0,0,<=50K
7,41,Federal-gov,11th,8,Never-married,Tech-support,49,0,0,<=50K
8,49,Private,HS-grad,9,Married,Exec-managerial,34,0,0,<=50K
9,46,Local-gov,Bachelors,13,Never-married,Sales,49,0,0,>50K
10,19,Private,HS-grad,9,Never-married,Other-service,52,0,0,<=50K
11,25,Local-gov,Bachelors,13,Married,Other-service,39,0,0,<=50K
12,33,Private,9th,6,Married,Sales,39,0,0,<=50K
13,32,Local-gov,HS-grad,9,Never-married,Sales,23,0,0,>50K
14,45,State-gov,Bachelors,13,Never-married,Machine-op,52,0,0,<=50K
15,34,Private,HS-grad,9,Married,Machine-op,47,0,2000,<=50K
16,21,Self-emp,HS-grad,9,Never-married,Exec-managerial,72,0,0,>50K
17,30,Private,HS-grad,9,Married,Other-service,38,0,0,<=50K
18,33,Private,Some-college,10,Married,Prof-specialty,39,0,0,<=50K
19,29,Private,HS-grad,9,Divorced,Craft-repair,41,0,0,<=50K
20,45,Private,Some-college,10,Married,Machine-op,45,0,0,<=50K
21,50,Private,11th,8,Divorced,Craft-repair,46,0,0,<=50K
22,54,Private,Some-college,10,Married,Exec-managerial,49,0,0,>50K
23,17,Federal-gov,Masters,15,Married,Machine-op,41,0,0,<=50K
24,49,State-gov,HS-grad,9,Divorced,Machine-op,45,0,0,<=50K
25,50,Private,Masters,15,Widowed,Sales,59,0,0,<=50K
26,40,Private,9th,6,Married,Exec-managerial,39,0,0,<=50K
27,26,Private,Some-college,10,Married,Sales,52,0,0,<=50K
28,50,Private,HS-grad,9,Married,Other-service,39,0,0,<=50K
29,75,Local-gov,9th,6,Widowed,Craft-repair,39,0,0,>50K
30,46,Self-emp,Doctorate,18,Never-married,Sales,18,0,0,<=50K
31,17,Private,Bachelors,13,Divorced,Tech-support,37,0,0,<=50K
32,22,Private,HS-grad,9,Divorced,Exec-managerial,31,0,0,<=50K
33,30,Private,Some-college,10,Never-married,Tech-support,21,0,0,>50K
34,36,Private,Bachelors,13,Never-married,Prof-specialty,32,0,0,<=50K
35,27,Federal-gov,Bachelors,13,Divorced,Sales,34,25000,0,>50K
36,51,Private,Masters,15,Married,Machine-op,34,0,0,>50K
37,29,Private,Masters,15,Married,Tech-support,44,0,0,>50K
38,27,Private,11th,8,Married,Other-service,49,5000,0,>50K
39,43,Local-gov,Assoc,11,Never-married,Farming-fishing,22,0,0,<=50K
40,21,Private,HS-grad,9,Married,Tech-support,60,0,500,>50K
41,48,Private,Some-college,10,Married,Tech-support,46,0,0,<=50K
