temp,time_period,choice
19.5,오후,1
31.0,오후,1
26.6,오전,0
24.0,오전,1
15.1,오후,1
15.1,오후,0
13.2,오후,1
29.3,오후,1
24.0,오후,1
26.2,오후,1
12.4,오전,1
31.4,오후,1
28.6,오후,1
16.2,오전,0
15.6,오전,0
15.7,오전,1
18.1,오전,1
22.5,오후,1
20.6,오후,1
17.8,오후,1
24.2,오후,1
14.8,오후,1
17.8,오후,1
19.3,오전,1
21.1,오후,0
27.7,오전,0
16.0,오전,1
22.3,오후,1
23.8,오전,0
12.9,오후,1
24.2,오전,0
15.4,오후,1
13.3,오전,1
31.0,오후,1
31.3,오후,1
28.2,오후,1
18.1,오후,1
14.0,오후,1
25.7,오전,0
20.8,오전,1
14.4,오전,1
21.9,오후,1
12.7,오전,1
30.2,오후,1
17.2,오후,1
25.3,오전,0
18.2,오전,1
22.4,오후,1
22.9,오전,0
15.7,오후,1
31.4,오후,1
27.5,오후,0
30.8,오후,0
29.9,오후,1
24.0,오전,0
30.4,오전,0
13.8,오후,1
15.9,오후,1
12.9,오전,0
18.5,오전,1
19.8,오후,1
17.4,오전,1
28.6,오후,1
19.1,오전,1
17.6,오후,1
22.9,오전,0
14.8,오후,0
28.0,오전,1
13.5,오전,1
31.7,오후,1
27.4,오전,0
16.0,오후,1
12.1,오전,1
28.3,오후,1
26.1,오전,0
26.6,오후,1
27.4,오전,1
13.5,오후,1
19.2,오전,0
14.3,오후,1
29.3,오후,1
24.5,오후,1
18.6,오전,1
13.3,오후,1
18.2,오전,0
18.5,오후,1
26.6,오전,0
24.8,오후,1
29.7,오전,0
21.4,오전,0
14.4,오후,0
26.3,오전,0
27.2,오전,0
23.2,오후,1
27.4,오전,0
21.9,오전,0
22.5,오전,1
20.6,오후,1
12.5,오전,1
14.2,오후,1
12.6,오전,1
24.7,오전,1
18.3,오전,1
22.2,오후,1
30.2,오전,0
17.0,오전,0
20.2,오후,1
27.1,오전,0
16.6,오후,1
13.5,오후,1
17.8,오전,1
15.2,오후,0
30.6,오전,1
28.2,오후,1
24.7,오후,1
29.4,오전,0
28.1,오후,1
15.7,오후,1
29.9,오후,0
22.8,오후,1
28.1,오후,0
29.9,오전,0
18.4,오후,1
14.2,오전,1
16.6,오후,1
20.5,오전,1
28.4,오전,0
29.2,오후,0
12.1,오후,1
22.2,오후,1
20.3,오전,1
16.4,오후,1
14.4,오전,1
18.8,오전,1
30.9,오전,0
18.5,오후,1
22.4,오후,1
26.1,오전,1
19.3,오전,0
31.4,오후,1
31.2,오전,0
17.0,오후,0
21.9,오전,1
18.0,오후,1
17.7,오전,0
12.7,오후,1
24.2,오전,1
22.1,오후,1
13.0,오후,1
17.6,오전,1
30.2,오전,0
16.8,오후,1
14.9,오전,1
21.8,오후,1
31.7,오전,0
16.8,오후,1
25.4,오후,1
27.2,오후,1
16.8,오후,1
26.6,오후,1
19.4,오후,1
24.6,오전,1
24.7,오전,1
22.7,오전,1
13.8,오후,0
28.7,오후,1
18.4,오후,1
15.7,오후,1
12.8,오전,1
23.8,오전,1
25.6,오후,1
12.3,오전,0
22.2,오전,0
16.5,오후,1
24.9,오전,0
15.5,오후,0
25.8,오전,0
19.7,오후,1
30.7,오후,0
14.8,오후,1
18.8,오후,1
14.3,오전,1
30.5,오후,1
29.5,오후,1
17.2,오후,1
25.2,오전,1
28.3,오후,1
23.1,오전,0
22.6,오후,0
16.8,오전,0
13.9,오전,1
29.9,오후,1
30.0,오전,0
24.7,오후,1
18.8,오후,1
19.0,오후,1
26.5,오전,0
29.9,오전,0
29.7,오후,0
27.6,오후,0
