고객_ID,나이,월_수입,구매_경향_점수,충성도_포인트
1,28,2500,45,150
2,35,3200,68,420
3,22,1800,32,80
4,42,4100,85,950
5,31,2900,55,320
6,27,2100,38,120
7,45,3800,72,680
8,29,2600,51,280
9,38,3400,78,580
10,24,1900,29,50
11,33,3100,62,420
12,26,2200,42,180
13,41,3900,81,890
14,30,2800,57,350
15,25,2000,35,95
16,37,3300,75,620
17,28,2400,48,200
18,43,4000,88,920
19,32,3000,60,400
20,23,1700,26,40
21,36,3200,71,650
22,27,2300,44,220
23,40,3700,79,850
24,29,2700,54,300
25,21,1600,24,30
26,34,3150,66,500
27,28,2550,49,240
28,44,4050,86,980
29,31,2950,59,370
30,22,1850,31,70
31,35,3250,73,700
32,26,2150,39,140
33,42,3950,82,920
34,30,2850,56,330
35,24,1950,33,85
36,38,3400,76,600
37,27,2350,46,210
38,46,4150,89,1000
39,32,3050,61,410
40,20,1550,22,20
41,37,3350,74,640
42,28,2500,50,260
43,41,3850,80,880
44,29,2750,55,310
45,23,1800,28,60
46,34,3200,68,520
47,27,2300,43,190
48,45,4100,87,990
49,31,2900,58,360
50,21,1700,25,35
51,36,3300,72,680
52,26,2200,40,160
53,43,4000,83,930
54,30,2800,57,340
55,24,1950,34,90
56,38,3450,77,610
57,28,2450,47,220
58,44,4050,85,950
59,32,3000,60,400
60,22,1900,30,75
61,35,3150,70,660
62,27,2250,41,150
63,42,3900,81,900
64,29,2650,53,290
65,23,1850,29,65
66,34,3200,69,530
67,28,2550,48,250
68,46,4200,88,1010
69,31,2950,59,380
70,20,1600,23,25
71,37,3400,75,650
72,26,2150,38,130
73,41,3800,79,870
74,30,2900,56,340
75,24,2000,35,95
76,38,3500,78,620
77,27,2400,45,230
78,45,4100,86,980
79,32,3050,61,420
80,21,1750,26,40
81,36,3250,71,670
82,28,2300,42,170
83,43,4050,82,910
84,29,2750,54,300
85,23,1900,31,70
86,34,3150,67,510
87,27,2200,44,200
88,44,4000,84,940
89,31,2850,58,350
90,22,1850,27,50
91,35,3300,72,680
92,26,2250,39,140
93,42,3950,80,890
94,30,2700,55,330
95,24,1950,33,80
96,38,3400,76,600
97,28,2500,49,240
98,46,4150,87,1000
99,32,3000,59,390
100,20,1550,21,15
101,37,3350,73,640
102,27,2350,46,210
103,41,3850,81,880
104,29,2650,53,310
105,23,1800,28,60
106,35,3200,70,650
107,26,2200,40,160
108,43,4000,83,930
109,30,2800,57,340
110,24,1900,34,90
111,38,3450,77,610
112,28,2450,47,220
113,45,4100,85,950
114,32,3000,60,400
115,22,1900,30,75
116,34,3150,69,520
117,27,2250,41,150
118,42,3900,81,900
119,29,2700,53,290
120,23,1850,29,65
121,36,3300,71,670
122,26,2150,38,130
123,41,3800,79,870
124,30,2900,56,340
125,24,2000,35,95
126,38,3500,78,620
127,27,2400,45,230
128,45,4100,86,980
129,32,3050,61,420
130,21,1750,26,40
131,35,3250,72,680
132,28,2300,42,170
133,43,4050,82,910
134,29,2750,54,300
135,23,1900,31,70
136,34,3150,67,510
137,27,2200,44,200
138,44,4000,84,940
139,31,2850,58,350
140,22,1850,27,50
141,36,3300,72,680
142,26,2250,39,140
143,42,3950,80,890
144,30,2700,55,330
145,24,1950,33,80
146,38,3400,76,600
147,28,2500,49,240
148,46,4150,87,1000
149,32,3000,59,390
150,20,1550,21,15
151,37,3350,73,640
152,27,2350,46,210
153,41,3850,81,880
154,29,2650,53,310
155,23,1800,28,60
156,35,3200,70,650
157,26,2200,40,160
158,43,4000,83,930
159,30,2800,57,340
160,24,1900,34,90
161,38,3450,77,610
162,28,2450,47,220
163,45,4100,85,950
164,32,3000,60,400
165,22,1900,30,75
166,34,3150,69,520
167,27,2250,41,150
168,42,3900,81,900
169,29,2700,53,290
170,23,1850,29,65
171,36,3300,71,670
172,26,2150,38,130
173,41,3800,79,870
174,30,2900,56,340
175,24,2000,35,95
176,38,3500,78,620
177,27,2400,45,230
178,45,4100,86,980
179,32,3050,61,420
180,21,1750,26,40
181,35,3250,72,680
182,28,2300,42,170
183,43,4050,82,910
184,29,2750,54,300
185,23,1900,31,70
186,34,3150,67,510
187,27,2200,44,200
188,44,4000,84,940
189,31,2850,58,350
190,22,1850,27,50
191,36,3300,72,680
192,26,2250,39,140
193,42,3950,80,890
194,30,2700,55,330
195,24,1950,33,80
196,38,3400,76,600
197,28,2500,49,240
198,46,4150,87,1000
199,32,3000,59,390
200,20,1550,21,15
201,37,3350,73,640
202,27,2350,46,210
203,41,3850,81,880
204,29,2650,53,310
205,23,1800,28,60
206,35,3200,70,650
207,26,2200,40,160
208,43,4000,83,930
209,30,2800,57,340
210,24,1900,34,90
211,38,3450,77,610
212,28,2450,47,220
213,45,4100,85,950
214,32,3000,60,400
215,22,1900,30,75
216,34,3150,69,520
217,27,2250,41,150
218,42,3900,81,900
219,29,2700,53,290
220,23,1850,29,65
221,36,3300,71,670
222,26,2150,38,130
223,41,3800,79,870
224,30,2900,56,340
225,24,2000,35,95
226,38,3500,78,620
227,27,2400,45,230
228,45,4100,86,980
229,32,3050,61,420
230,21,1750,26,40
231,35,3250,72,680
232,28,2300,42,170
233,43,4050,82,910
234,29,2750,54,300
235,23,1900,31,70
236,34,3150,67,510
237,27,2200,44,200
238,44,4000,84,940
239,31,2850,58,350
240,22,1850,27,50
241,36,3300,72,680
242,26,2250,39,140
243,42,3950,80,890
244,30,2700,55,330
