고객_ID,나이,월_수입,구매_경향_점수,충성도_포인트,방문_횟수,평균_구매액,구매
1,58,2658,23,1797,42,13,1
2,48,2718,22,52,25,163,0
3,34,1900,61,1473,18,451,1
4,62,2139,95,204,40,38,1
5,27,4604,36,125,8,118,0
6,40,4235,11,1770,39,107,1
7,58,1959,54,42,40,224,0
8,38,2454,12,1775,14,302,0
9,42,1969,22,1994,32,84,0
10,30,4946,88,1906,38,335,1
11,30,2545,98,110,33,155,1
12,43,4297,29,760,23,137,0
13,55,3193,16,1686,15,350,0
14,59,3585,61,1206,33,51,1
15,43,3777,83,847,25,365,1
16,22,4936,88,94,17,50,0
17,41,2062,85,1994,33,431,1
18,21,3985,12,1397,47,43,0
19,43,3299,58,1935,2,26,0
20,63,4854,18,1543,14,174,0
21,49,3574,48,899,40,162,0
22,57,1725,99,359,40,495,0
23,21,4848,11,899,39,387,1
24,40,2297,60,1719,6,85,0
25,52,3831,18,280,6,96,0
26,31,4426,75,1218,3,126,1
27,41,2459,8,1887,7,371,0
28,63,3004,70,1218,8,351,1
29,44,1952,27,666,42,478,0
30,46,4567,77,92,15,36,1
31,61,2315,94,671,47,322,0
32,47,2158,51,1969,29,296,1
33,35,2046,82,60,33,143,1
34,34,2715,15,633,30,228,0
35,63,4620,68,1074,39,177,0
36,22,1516,98,1426,27,107,1
37,56,4743,11,1812,36,277,1
38,26,2743,24,1028,29,246,1
39,40,3705,51,1489,38,318,0
40,28,4024,84,603,33,464,1
41,58,2569,99,681,37,403,1
42,37,4944,52,1852,27,182,0
43,23,4065,22,533,33,410,1
44,44,3646,15,1428,4,419,0
45,33,3268,56,837,22,478,0
46,28,2560,38,1536,2,485,1
47,45,3827,52,644,10,199,0
48,21,4920,41,232,5,131,0
49,39,4044,57,523,10,55,0
50,47,1801,38,345,33,73,0
51,26,1680,13,1069,38,139,0
52,63,2106,94,545,13,319,0
53,27,4670,4,1968,31,372,0
54,54,2199,34,1101,47,202,0
55,33,2492,86,1753,36,316,1
56,36,2639,92,1836,45,190,1
57,55,1690,74,1946,24,301,1
58,59,3800,17,1096,15,380,1
59,23,2480,75,793,29,291,1
60,21,4475,8,248,8,38,0
61,25,3506,73,46,5,158,1
62,61,2684,57,1144,29,276,0
63,23,4827,16,213,47,305,1
64,48,4894,6,238,4,20,0
65,37,1627,45,1079,12,173,1
66,45,3565,12,349,45,122,0
67,63,3316,39,106,2,196,0
68,53,3258,41,830,27,304,0
69,29,4113,8,47,31,241,0
70,55,2069,49,1596,36,236,1
71,33,2846,26,336,36,319,0
72,50,3395,65,1049,26,107,1
73,34,4233,4,803,43,64,0
74,27,2125,28,1280,27,120,1
75,33,4859,36,7,5,161,0
76,42,4401,37,624,20,255,0
77,59,3186,82,1890,11,415,1
78,40,4509,7,1276,10,78,1
79,35,1654,64,1715,40,321,1
80,64,4037,85,718,38,298,1
81,37,2909,16,302,6,259,0
82,43,2284,70,638,8,45,1
83,45,4675,88,55,23,248,1
84,44,4964,44,725,47,157,1
85,64,1745,3,525,26,476,0
86,60,4747,35,473,46,236,1
87,48,4610,69,27,43,253,1
88,34,3000,30,77,12,346,1
89,64,3205,18,1239,26,455,0
90,20,4306,60,1409,13,374,0
91,44,2037,53,364,40,491,1
92,26,3390,38,665,18,210,1
93,28,3341,90,525,25,163,0
94,43,2420,73,698,33,459,0
95,20,3955,89,1335,47,82,1
96,63,2024,18,882,40,210,0
97,27,4375,38,1030,43,305,0
98,43,3029,66,1026,12,26,1
99,30,4450,44,1646,44,138,0
100,36,1535,12,918,36,226,0
101,27,2184,91,749,48,70,1
102,54,1519,57,362,4,436,1
103,54,3868,19,1774,5,113,1
104,52,4059,91,1531,37,51,0
105,24,1899,71,1297,8,34,0
106,61,4201,60,1529,42,48,1
107,58,2471,38,805,49,300,1
108,60,3406,0,738,28,140,0
109,47,4018,2,1906,31,238,0
110,26,2666,76,1038,9,117,1
111,28,2615,91,1215,29,181,1
112,27,4925,61,1654,14,444,0
113,31,2333,62,484,40,487,1
114,53,3323,24,27,41,111,0
115,52,4274,55,713,22,363,1
116,42,3482,32,1062,11,21,1
117,43,2353,37,1976,23,284,1
118,56,1550,5,1296,1,110,0
119,54,2074,57,1254,46,53,0
120,63,4761,43,85,37,452,1
121,59,2648,44,1497,21,314,0
122,41,3697,31,125,26,454,0
123,46,3861,44,811,46,26,0
124,54,4117,60,536,36,339,1
125,20,4913,46,144,23,66,0
126,54,3852,20,1548,1,320,0
127,56,3215,79,1235,40,312,1
128,33,2181,84,24,15,21,1
129,22,2337,74,1603,21,327,0
130,20,2577,100,1417,47,89,0
131,24,4550,35,66,9,225,1
132,45,3991,98,232,9,348,0
133,33,4160,18,108,10,273,0
134,58,4540,19,1169,26,488,0
135,46,3811,56,110,41,158,0
136,28,4624,17,227,35,90,0
137,34,3095,46,110,25,224,0
138,34,4551,48,1493,26,494,1
139,45,1504,13,33,11,383,0
140,61,2626,14,622,38,473,0
141,32,2719,30,1799,2,207,0
142,51,2273,0,1959,7,209,1
143,58,2376,53,1392,18,34,0
144,51,2491,2,747,27,475,0
145,23,4431,15,594,34,98,0
146,49,4921,86,1577,27,277,1
147,56,1546,56,424,17,152,0
148,42,4414,74,612,43,68,1
149,58,4370,11,1541,44,419,1
150,64,4483,73,691,24,498,1
151,34,4203,95,1305,25,374,1
152,62,1768,15,1343,7,35,0
153,48,1869,71,1761,6,56,1
154,55,2135,75,1466,24,297,1
155,32,2629,23,1975,33,275,0
156,51,3193,27,314,49,25,1
157,26,3182,7,876,29,208,0
158,41,2156,91,1989,43,410,0
159,47,1619,35,1764,22,416,1
160,21,2330,89,1400,26,291,1
161,61,3310,7,1312,28,478,1
162,64,2581,57,1460,21,95,0
163,25,3474,59,661,49,259,1
164,47,2869,49,276,7,400,1
165,47,2240,27,1733,17,279,0
166,63,1616,91,1605,20,344,1
167,63,3353,100,1526,41,126,1
168,39,4338,40,623,49,16,0
169,49,2650,99,515,20,146,1
170,30,4964,63,1373,22,380,0
171,47,3431,26,842,28,185,0
172,44,2512,62,1469,40,337,0
173,58,3164,16,1853,49,324,1
174,52,2581,72,349,7,224,0
175,20,2133,32,1630,1,486,0
176,46,2012,83,1687,32,91,1
177,32,4349,76,822,13,232,0
178,60,2619,91,1160,30,487,0
179,22,2641,28,758,23,381,0
180,58,2059,12,898,19,432,0
181,25,1987,45,242,32,492,0
182,27,4808,34,542,30,411,0
183,46,2396,5,1063,29,452,0
184,28,4843,81,228,49,499,0
185,56,2712,68,547,45,112,1
186,52,2203,46,919,29,282,1
187,61,2970,24,1246,30,23,0
188,63,2080,65,5,16,168,1
189,43,4337,9,1345,40,161,0
190,34,4408,55,467,19,492,1
191,51,3794,29,1755,18,117,1
192,51,4647,4,74,1,197,0
193,43,1653,32,3,14,310,0
194,60,3179,64,1870,47,107,1
195,31,2496,17,645,2,140,0
196,58,4657,95,117,28,302,0
197,21,4244,48,880,49,180,1
198,22,4856,10,1629,30,433,0
199,56,2743,84,503,38,483,1
200,36,2592,25,946,4,192,0
201,21,4618,62,573,1,480,0
202,21,2508,88,1464,8,373,1
203,47,3641,85,193,29,48,0
204,42,3273,58,846,39,24,0
205,56,2457,26,714,3,385,1
206,51,4559,48,1415,32,13,0
207,52,1952,76,1049,10,358,0
208,20,2727,32,1458,10,479,1
209,38,4459,97,172,19,418,0
210,21,3765,98,1323,46,406,1
211,63,4021,0,1668,34,219,0
212,45,3979,20,325,33,170,0
213,51,3888,54,1433,23,25,1
214,25,2050,5,1141,28,435,0
215,51,3135,91,835,32,117,0
216,23,2812,80,1810,7,391,1
217,30,4825,68,723,29,459,0
218,36,3257,94,224,8,320,0
219,57,1856,4,531,1,236,0
220,43,3570,2,112,3,179,0
221,24,3285,52,139,24,43,0
222,53,4069,22,558,23,423,0
223,25,3281,100,0,8,260,0
224,41,4671,52,89,47,256,1
225,30,4349,36,653,37,278,1
226,35,4751,73,319,3,150,1
227,52,4794,73,1573,33,283,1
228,28,4309,82,1828,28,425,1
229,25,3989,16,1917,47,105,1
230,35,3131,84,138,8,236,0
231,48,4316,77,1534,34,388,1
232,22,2515,72,1891,35,48,1
233,39,2848,0,844,32,311,0
234,55,2015,50,258,24,38,0
235,38,4587,44,1696,14,455,0
236,45,4339,76,901,32,486,0
237,22,1835,3,689,46,327,0
238,38,3282,61,9,43,254,1
239,39,3805,64,260,16,245,1
240,51,1996,31,1942,4,194,1
241,26,2395,33,1673,37,281,0
242,60,3707,91,171,21,449,1
243,52,2351,94,897,14,245,1
244,59,3187,71,12,31,248,0
245,58,3431,38,1191,48,386,1
246,37,4237,25,1665,18,275,1
247,59,3927,33,1619,7,423,1
248,20,3068,53,320,10,418,0
249,30,2456,2,1342,7,368,1
250,47,4238,49,1636,33,349,0
251,44,4998,11,328,23,398,1
252,42,3136,64,784,21,74,0
253,50,2791,53,776,19,487,1
254,49,2940,4,1994,48,186,0
255,61,2691,93,910,19,12,0
