학번,성별,학원,수학점수,영어점수,과학점수,총점,합격여부
S001,남,안다님,92,77,84,253,합격
S002,여,다님,45,68,63,176,불합격
S003,남,다님,22,68,72,162,불합격
S004,여,안다님,46,62,65,173,불합격
S005,남,다님,75,63,74,212,합격
S006,여,다님,77,87,83,247,합격
S007,남,다님,54,49,45,148,불합격
S008,여,다님,79,74,69,222,합격
S009,남,다님,57,54,55,166,불합격
S010,여,다님,90,100,89,279,합격
S011,남,다님,66,57,67,190,불합격
S012,여,다님,54,76,69,199,합격
S013,남,안다님,67,48,79,194,불합격
S014,여,안다님,54,61,72,187,불합격
S015,남,다님,80,65,76,221,합격
S016,여,다님,77,86,79,242,합격
S017,남,다님,25,41,51,117,불합격
S018,여,다님,60,73,63,196,합격
S019,남,안다님,67,62,58,187,불합격
S020,여,다님,57,77,75,209,합격
S021,남,안다님,68,43,77,188,불합격
S022,여,안다님,68,77,61,206,합격
S023,남,다님,65,60,74,199,합격
S024,여,다님,69,82,69,220,합격
S025,남,안다님,77,67,78,222,합격
S026,여,안다님,64,61,57,182,불합격
S027,남,다님,55,46,50,151,불합격
S028,여,다님,62,57,80,199,합격
S029,남,다님,83,65,70,218,합격
S030,여,안다님,57,65,49,171,불합격
S031,남,다님,50,55,62,167,불합격
S032,여,안다님,56,52,55,163,불합격
S033,남,다님,69,61,62,192,불합격
S034,여,안다님,54,61,57,172,불합격
S035,남,안다님,76,71,70,217,합격
S036,여,다님,71,73,81,225,합격
S037,남,다님,70,72,79,221,합격
S038,여,안다님,51,55,58,164,불합격
S039,남,다님,92,71,85,248,합격
S040,여,안다님,80,84,80,244,합격
S041,남,안다님,68,49,57,174,불합격
S042,여,다님,76,67,79,222,합격
S043,남,다님,60,43,48,151,불합격
S044,여,안다님,64,96,75,235,합격
S045,남,다님,70,64,48,182,불합격
S046,여,다님,55,48,58,161,불합격
S047,남,다님,83,62,54,199,합격
S048,여,안다님,56,63,81,200,합격
S049,남,안다님,68,61,67,196,합격
S050,여,다님,44,59,62,165,불합격
S051,남,다님,79,80,79,238,합격
S052,여,다님,95,92,98,285,합격
S053,남,안다님,91,72,78,241,합격
S054,여,다님,83,80,83,246,합격
S055,남,안다님,58,67,50,175,불합격
S056,여,다님,32,35,29,96,불합격
S057,남,다님,71,59,66,196,합격
S058,여,다님,66,74,56,196,합격
S059,남,안다님,92,75,85,252,합격
S060,여,안다님,64,67,58,189,불합격
S061,남,다님,87,85,91,263,합격
S062,여,다님,62,69,65,196,합격
S063,남,다님,91,75,74,240,합격
S064,여,다님,80,96,95,271,합격
S065,남,다님,70,65,70,205,합격
S066,여,다님,82,92,89,263,합격
S067,남,다님,70,65,69,204,합격
S068,여,다님,72,81,80,233,합격
S069,남,안다님,76,69,71,216,합격
S070,여,다님,77,100,79,256,합격
S071,남,다님,100,80,75,255,합격
S072,여,안다님,67,82,92,241,합격
S073,남,다님,77,60,69,206,합격
S074,여,다님,64,64,54,182,불합격
S075,남,안다님,80,76,55,211,합격
S076,여,다님,65,60,50,175,불합격
S077,남,다님,82,76,75,233,합격
S078,여,다님,86,84,96,266,합격
S079,남,다님,62,50,65,177,불합격
S080,여,다님,82,75,81,238,합격
S081,남,안다님,58,55,55,168,불합격
S082,여,다님,89,93,89,271,합격
S083,남,다님,71,63,75,209,합격
S084,여,다님,56,72,75,203,합격
S085,남,다님,55,52,55,162,불합격
S086,여,안다님,62,77,82,221,합격
S087,남,안다님,58,51,59,168,불합격
S088,여,다님,62,81,69,212,합격
S089,남,다님,60,44,65,169,불합격
S090,여,다님,60,70,68,198,합격
S091,남,다님,94,84,79,257,합격
S092,여,안다님,40,47,53,140,불합격
S093,남,다님,77,66,58,201,합격
S094,여,다님,65,78,62,205,합격
S095,남,다님,88,79,73,240,합격
S096,여,다님,35,44,43,122,불합격
S097,남,다님,57,41,56,154,불합격
S098,여,안다님,56,67,52,175,불합격
S099,남,다님,79,73,68,220,합격
S100,여,다님,70,72,75,217,합격
