PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,1,2,female,58.97529944212322,4,6,28.68421641507729,S
2,1,2,female,26.106423293837945,3,6,56.373261122891314,S
3,1,2,female,21.63484402986699,4,6,42.20315802781969,Q
4,0,3,male,37.82853426248487,4,6,30.469602377225694,S
5,1,2,male,13.540286237954628,1,1,49.8886636793545,C
6,0,3,female,58.68159247047129,0,3,7.501748912787733,S
7,1,1,female,45.97879169105846,2,3,56.44556120849561,S
8,1,3,female,39.460422998231806,0,5,30.66819491674078,C
9,1,1,female,61.26435918946925,0,1,24.352084019343593,S
10,0,3,male,27.548541895638696,2,5,22.1931979529068,S
11,1,1,female,16.361150448843432,3,5,101.5672015564509,S
12,0,1,male,15.82451690159297,5,5,56.743130744808006,S
13,1,1,female,46.00309008637268,1,1,39.98807510521546,Q
14,1,3,male,38.136860886281085,2,4,14.95183863477365,C
15,1,1,female,39.38634972070846,3,1,41.61477950253079,S
16,1,3,female,6.397989946057098,0,1,26.52579291702646,C
17,1,1,female,43.52696517305407,1,4,35.60638229166407,S
18,1,3,female,31.233604965440467,3,4,25.30181059753444,S
19,1,1,male,33.10120189276576,5,0,160.7643967609221,S
20,1,1,female,38.734287021494204,3,1,21.594262462208366,C
21,1,3,male,50.112021773279245,1,6,36.93714007367929,S
22,0,3,male,52.41442864387592,4,6,66.76494056809611,S
23,1,1,female,41.978637894792335,3,1,131.99646036863334,S
24,1,2,female,32.11328498284301,0,1,39.02352085075231,C
25,0,1,female,18.38838479788248,1,0,8.847417450405846,S
26,1,1,male,24.762364180249183,3,6,60.690386039156834,S
27,1,3,male,16.9850835465796,0,5,68.57925388288062,S
28,1,1,female,31.004257401427182,1,6,129.08544702157724,C
29,0,3,male,28.911406900813837,0,1,11.188286613467184,S
30,0,2,male,39.912396027497564,3,0,78.91019538040575,C
31,1,3,female,3.3276666949727094,5,2,23.349882657120357,C
32,1,3,female,24.58222972432106,3,6,26.555276729167527,C
